Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	TP53	7157	P04637	tumor protein p53	Transcription factor	2494	0.236	0.962	0.53235	0.32		1.0	3	0	2006.0	2016.0
Chronic Obstructive Airway Disease	C0024117	CXCL2	2920	P19875	C-X-C motif chemokine ligand 2	Signaling	186	0.513	0.885	3.6079e-07	0.31		1.0	2	0	2013.0	2016.0
Chronic Obstructive Airway Disease	C0024117	MMP14	4323	P50281	matrix metallopeptidase 14	Enzyme	340	0.447	0.769	0.99522	0.31		1.0	2	0	2006.0	2009.0
Chronic Obstructive Airway Disease	C0024117	KLF5	688	Q13887	Kruppel like factor 5	Nucleic acid binding	143	0.534	0.769	0.8181	0.31		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TNNT2	7139	P45379	troponin T2, cardiac type	Cellular structure	79	0.601	0.423	0.0020041	0.31		1.0	2	0	2007.0	2008.0
Chronic Obstructive Airway Disease	C0024117	CD8A	925	P01732	CD8a molecule		87	0.587	0.769	1.6806e-05	0.31		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	IL17A	3605	Q16552	interleukin 17A		1074	0.324	0.923	0.043049	0.3		0.963	27	2	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR218-2	407001		microRNA 218-2		19	0.716	0.385		0.3		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MUC5AC	4586	P98088	mucin 5AC, oligomeric mucus/gel-forming	Enzyme modulator	224	0.483	0.808	9.9887e-09	0.3		1.0	17	0	2004.0	2020.0
Chronic Obstructive Airway Disease	C0024117	NFE2L2	4780	Q16236	nuclear factor, erythroid 2 like 2	Enzyme	823	0.357	0.885	0.0035719	0.3		0.972	36	2	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TIMP1	7076	P01033	TIMP metallopeptidase inhibitor 1	Enzyme modulator	603	0.38	0.885	0.4993	0.3		1.0	13	1	2001.0	2019.0
Chronic Obstructive Airway Disease	C0024117	VEGFA	7422	P15692	vascular endothelial growth factor A	Signaling	1899	0.266	0.923	2.4085e-05	0.3		0.963	27	0	2003.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EGFR	1956	P00533	epidermal growth factor receptor	Kinase	1394	0.295	0.885	0.36837	0.28		0.889	9	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CASP3	836	P42574	caspase 3	Enzyme	819	0.351	0.923	0.10017	0.25		1.0	6	0	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SERPINE1	5054	P05121	serpin family E member 1	Enzyme modulator	770	0.359	0.885	0.043609	0.24		1.0	5	0	2007.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MUC1	4582	P15941	mucin 1, cell surface associated		594	0.384	0.885	0.018774	0.23		1.0	4	0	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLAU	5328	P00749	plasminogen activator, urokinase	Enzyme	439	0.425	0.923	2.3058e-06	0.23		1.0	4	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLPI	6590	P03973	secretory leukocyte peptidase inhibitor	Enzyme modulator	310	0.449	0.846	0.00089665	0.23		1.0	4	0	2000.0	2020.0
Chronic Obstructive Airway Disease	C0024117	CCN2	1490	P29279	cellular communication network factor 2	Signaling	518	0.399	0.846	0.00050202	0.22		1.0	3	0	2009.0	2015.0
Chronic Obstructive Airway Disease	C0024117	MPO	4353	P05164	myeloperoxidase	Enzyme	653	0.377	0.923	7.105e-15	0.22		1.0	3	0	2007.0	2017.0
Chronic Obstructive Airway Disease	C0024117	STAT4	6775	Q14765	signal transducer and activator of transcription 4	Nucleic acid binding	316	0.471	0.769	0.7662	0.22		1.0	3	0	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DDIT3	1649	P35638	DNA damage inducible transcript 3		264	0.467	0.846	0.59066	0.21		1.0	2	0	2008.0	2014.0
Chronic Obstructive Airway Disease	C0024117	SMAD4	4089	Q13485	SMAD family member 4	Transcription factor	575	0.401	0.808	0.99881	0.21		1.0	2	0	2008.0	2018.0
Chronic Obstructive Airway Disease	C0024117	BNIP3	664	Q12983	BCL2 interacting protein 3		158	0.52	0.731	1.9687e-05	0.21		1.0	2	0	2015.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CASP12	100506742	Q6UXS9	caspase 12 (gene/pseudogene)		44	0.638	0.808	0.00012749	0.2		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CFTR	1080	P13569	CF transmembrane conductance regulator	Ion channel	476	0.424	0.885	2.1735e-58	0.2		1.0	23	4	2001.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CHRNA3	1136	P32297	cholinergic receptor nicotinic alpha 3 subunit	Ion channel	110	0.588	0.692	1.4197e-07	0.2		0.97	33	19	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CHRNA5	1138	P30532	cholinergic receptor nicotinic alpha 5 subunit	Ion channel	110	0.593	0.577	2.1488e-06	0.2		1.0	21	16	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	NQO1	1728	P15559	NAD(P)H quinone dehydrogenase 1		368	0.434	0.885	1.1867e-09	0.2		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	AGER	177	Q15109	advanced glycosylation end-product specific receptor	Receptor	450	0.42	0.885	6.3528e-16	0.2		1.0	15	3	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ERBB3	2065	P21860	erb-b2 receptor tyrosine kinase 3	Kinase	318	0.448	0.808	1.7003e-15	0.2		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	FAIM2	23017	Q9BWQ8	Fas apoptotic inhibitory molecule 2		48	0.663	0.5	8.7012e-05	0.2		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FAS	355	P25445	Fas cell surface death receptor		754	0.372	0.923	0.8117	0.2		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FASLG	356	P48023	Fas ligand	Signaling	398	0.43	0.885	0.18345	0.2		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IREB2	3658	P48200	iron responsive element binding protein 2	Enzyme	82	0.619	0.577	0.99991	0.2		0.905	21	15	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLAUR	5329	Q03405	plasminogen activator, urokinase receptor		147	0.536	0.731	0.0053378	0.2		1.0	1	2	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	SMPD3	55512	Q9NY59	sphingomyelin phosphodiesterase 3		50	0.659	0.615	0.59429	0.2		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	CASP8	841	Q14790	caspase 8	Enzyme	480	0.404	0.923	3.7236e-06	0.2		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CHRNB4	1143	P30926	cholinergic receptor nicotinic beta 4 subunit	Ion channel	75	0.644	0.423	0.1427	0.16		1.0	8	7	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CTLA4	1493	P16410	cytotoxic T-lymphocyte associated protein 4		722	0.369	0.923	0.94085	0.16		0.833	6	2	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MMP3	4314	P08254	matrix metallopeptidase 3	Enzyme	473	0.408	0.885	5.7362e-15	0.16		0.857	7	11	2012.0	2018.0
Chronic Obstructive Airway Disease	C0024117	HSPA4	3308	P34932	heat shock protein family A (Hsp70) member 4		550	0.394	0.923	0.99954	0.15		1.0	6	1	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CHRM3	1131	P20309	cholinergic receptor muscarinic 3	G-protein coupled receptor	284	0.464	0.885	0.99253	0.14		1.0	5	1	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SCGB1A1	7356	P11684	secretoglobin family 1A member 1	Signaling	133	0.546	0.808	0.00079919	0.14		0.75	4	1	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLB1	151056	Q6P1J6	phospholipase B1		219	0.488	0.846	1.7315e-72	0.13		1.0	4	1	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PRTN3	5657	P24158	proteinase 3	Enzyme	215	0.503	0.808	3.8044e-05	0.13		1.0	3	0	2015.0	2018.0
Chronic Obstructive Airway Disease	C0024117	THSD4	79875	Q6ZMP0	thrombospondin type 1 domain containing 4	Enzyme	22	0.78	0.269	4.8082e-07	0.13		1.0	5	4	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CYBA	1535	P13498	cytochrome b-245 alpha chain		177	0.52	0.769	8.8678e-06	0.12		1.0	2	1	2010.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HSPA1A	3303	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1A		229	0.486	0.769	0.030228	0.12		1.0	2	4	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HTR4	3360	Q13639	5-hydroxytryptamine receptor 4	G-protein coupled receptor	80	0.61	0.615	0.024701	0.12		1.0	5	3	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	NFKB1	4790	P19838	nuclear factor kappa B subunit 1	Transcription factor	551	0.396	0.923	1.0	0.12		1.0	2	0	2008.0	2013.0
Chronic Obstructive Airway Disease	C0024117	RNF150	57484	Q9ULK6	ring finger protein 150		6	0.839	0.154	0.00073035	0.12		1.0	3	1	2012.0	2015.0
Chronic Obstructive Airway Disease	C0024117	TNS1	7145	Q9HBL0	tensin 1		38	0.691	0.538	0.059861	0.12		1.0	4	2	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CDH13	1012	P55290	cadherin 13		205	0.501	0.846	0.0007058	0.11		1.0	2	11	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	HYKK	123688	A2RU49	hydroxylysine kinase		19	0.769	0.346	7.3257e-06	0.11		1.0	6	10	2009.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CYBB	1536	P04839	cytochrome b-245 beta chain	Ion channel	343	0.452	0.885	0.99904	0.11		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DNAAF4	161582	Q8WXU2	dynein axonemal assembly factor 4		70	0.623	0.731	9.7181e-10	0.11		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	PSORS1C1	170679	Q9UIG5	psoriasis susceptibility 1 candidate 1		43	0.656	0.731	0.00026534	0.11		1.0	2	2	2011.0	2012.0
Chronic Obstructive Airway Disease	C0024117	DLG2	1740	Q15700	discs large MAGUK scaffold protein 2	Receptor	44	0.67	0.577	0.70796	0.11		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	DNAH5	1767	Q8TE73	dynein axonemal heavy chain 5	Enzyme	93	0.59	0.692	4.8607e-64	0.11		1.0	2	1	2014.0	2015.0
Chronic Obstructive Airway Disease	C0024117	DOCK1	1793	Q14185	dedicator of cytokinesis 1		58	0.641	0.577	0.0068117	0.11		1.0	1	1	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PDZD2	23037	O15018	PDZ domain containing 2	Signaling	37	0.666	0.538	0.99694	0.11		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NPNT	255743	Q6UXI9	nephronectin		55	0.659	0.654	2.7295e-10	0.11		1.0	2	1	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HLA-DPA1	3113	P20036	major histocompatibility complex, class II, DP alpha 1	Immune response	139	0.552	0.846	2.5e-06	0.11		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HLA-DPB1	3115	P04440	major histocompatibility complex, class II, DP beta 1	Immune response	324	0.453	0.923	5.3254e-10	0.11		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HSPA1B	3304	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1B		251	0.474	0.808	0.0053464	0.11		1.0	1	2	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	HSPA1L	3305	P34931	heat shock protein family A (Hsp70) member 1 like		65	0.603	0.654	1.057e-06	0.11		0.0	1	5	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	INPP5D	3635	Q92835	inositol polyphosphate-5-phosphatase D		109	0.558	0.731	0.97198	0.11		1.0	2	1	2016.0	2018.0
Chronic Obstructive Airway Disease	C0024117	KCNK1	3775	O00180	potassium two pore domain channel subfamily K member 1	Ion channel	14	0.76	0.462	0.031161	0.11		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	ARHGEF38	54848	Q9NXL2	Rho guanine nucleotide exchange factor 38		10	0.861	0.154	1.1352e-09	0.11		1.0	2	1	2011.0	2017.0
Chronic Obstructive Airway Disease	C0024117	INTS12	57117	Q96CB8	integrator complex subunit 12		10	0.89	0.077	0.7537	0.11		1.0	3	2	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CSMD1	64478	Q96PZ7	CUB and Sushi multiple domains 1		90	0.61	0.5	1.0	0.11		1.0	2	2	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	WIPF1	7456	O43516	WAS/WASL interacting protein family member 1		108	0.584	0.731	0.90296	0.11		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FTO	79068	Q9C0B1	FTO alpha-ketoglutarate dependent dioxygenase		286	0.486	0.885	8.364e-08	0.11		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	GSTCD	79807	Q8NEC7	glutathione S-transferase C-terminal domain containing		13	0.839	0.231	1.4216e-07	0.11		1.0	2	1	2011.0	2017.0
Chronic Obstructive Airway Disease	C0024117	GAB2	9846	Q9UQC2	GRB2 associated binding protein 2	Receptor	110	0.563	0.692	0.98325	0.11		1.0	2	1	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ZDHHC20P2	100048908		zinc finger DHHC-type containing 20 pseudogene 2		3	0.89	0.192		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MAPT-AS1	100128977		MAPT antisense RNA 1		34	0.711	0.269		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	WTAPP1	100288077		Wilms tumor 1 associated protein pseudogene 1		9	0.89	0.154		0.1		1.0	1	22	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	LINC01006	100506380	Q8NI28	long intergenic non-protein coding RNA 1006		16	0.78	0.269		0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	CHRM3-AS2	100506915		CHRM3 antisense RNA 2		1	1.0	0.038		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIA-RAB4B	100529262		MIA-RAB4B readthrough (NMD candidate)		11	0.821	0.385		0.1		1.0	2	2	2012.0	2017.0
Chronic Obstructive Airway Disease	C0024117	RAB4B-EGLN2	100529264		RAB4B-EGLN2 readthrough (NMD candidate)		51	0.641	0.654		0.1		1.0	2	3	2012.0	2017.0
Chronic Obstructive Airway Disease	C0024117	NNT-AS1	100652772		NNT antisense RNA 1		37	0.666	0.423		0.1		1.0	1	8	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	COX10-AS1	100874058		COX10 antisense RNA 1		8	0.805	0.192		0.1		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CDH11	1009	P55287	cadherin 11		203	0.512	0.808	0.9999	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LINC01807	101928765		long intergenic non-protein coding RNA 1807		8	0.89	0.077		0.1		1.0	2	1	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LINC01876	101929378		long intergenic non-protein coding RNA 1876		13	0.861	0.115		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CD96	10225	P40200	CD96 molecule		109	0.592	0.692	1.392e-11	0.1		1.0	1	3	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	LINC02863	102723741		long intergenic non-protein coding RNA 2863		10	0.821	0.154		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TESK2	10420	Q96S53	testis associated actin remodelling kinase 2	Kinase	9	0.89	0.192	4.4552e-07	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CFDP1	10428	Q9UEE9	craniofacial development protein 1		71	0.619	0.615	0.0036535	0.1		1.0	2	3	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	RNASEH2A	10535	O75792	ribonuclease H2 subunit A	Enzyme	116	0.592	0.692	0.0041807	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	LINC01937	105373962		long intergenic non-protein coding RNA 1937		4	1.0	0.038		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LINC01997	105374201		long intergenic non-protein coding RNA 1997		2	1.0	0.038		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LINC02625	107984237		long intergenic non-protein coding RNA 2625		2	1.0	0.038		0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	MIR4527HG	110175910		MIR4527 host gene		2	1.0	0.038		0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HSF2BP	11077	O75031	heat shock transcription factor 2 binding protein		8	0.931	0.154	2.5257e-16	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ADCY5	111	O95622	adenylate cyclase 5		103	0.617	0.577	0.99928	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SGF29	112869	Q96ES7	SAGA complex associated factor 29		12	0.792	0.269	0.002139	0.1		1.0	1	1	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	BTBD9	114781	Q96Q07	BTB domain containing 9		27	0.691	0.423	7.0655e-09	0.1		1.0	1	3	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	KLHL32	114792	Q96NJ5	kelch like family member 32		9	0.931	0.115	0.0093469	0.1		1.0	1	4	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	GALNT13	114805	Q8IUC8	polypeptide N-acetylgalactosaminyltransferase 13	Enzyme	8	0.89	0.154	0.99066	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	BTBD11	121551	A6QL63	BTB domain containing 11	Signaling	8	0.839	0.192	0.99993	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	TMEM219	124446	Q86XT9	transmembrane protein 219		20	0.76	0.269	8.1671e-05	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	UBR3	130507	Q6ZT12	ubiquitin protein ligase E3 component n-recognin 3		3	0.89	0.115	1.0	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	COMT	1312	P21964	catechol-O-methyltransferase	Enzyme	622	0.4	0.923	1.1377e-06	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	SCLT1	132320	Q96NL6	sodium channel and clathrin linker 1		31	0.663	0.577	4.3816e-16	0.1		1.0	1	1	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CRP	1401	P02741	C-reactive protein		1483	0.299	0.962	0.0036969	0.1		0.911	45	1	2006.0	2020.0
Chronic Obstructive Airway Disease	C0024117	NOL4L	140688	Q96MY1	nucleolar protein 4 like		16	0.931	0.154	0.99496	0.1		1.0	1	1	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MAPK14	1432	Q16539	mitogen-activated protein kinase 14	Kinase	626	0.379	0.923	0.37466	0.1		1.0	10	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CSE1L	1434	P55060	chromosome segregation 1 like	Enzyme modulator	163	0.521	0.808	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ARHGAP42	143872	A6NI28	Rho GTPase activating protein 42	Enzyme modulator	25	0.792	0.385	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LYSMD4	145748	Q5XG99	LysM domain containing 4		2	1.0	0.038	0.00056203	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SLC35F3	148641	Q8IY50	solute carrier family 35 member F3	Transporter	13	0.805	0.231	0.0996	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CNTN4	152330	Q8IWV2	contactin 4	Receptor	58	0.653	0.577	3.3013e-06	0.1		1.0	1	1	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SCFD2	152579	Q8WU76	sec1 family domain containing 2	Transporter	8	0.839	0.231	6.0175e-13	0.1		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	ADRB2	154	P07550	adrenoceptor beta 2	G-protein coupled receptor	387	0.442	0.923	0.52545	0.1		1.0	36	5	1993.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AMZ1	155185	Q400G9	archaelysin family metallopeptidase 1		17	0.821	0.154	3.7114e-23	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SPPL2C	162540	Q8IUH8	signal peptide peptidase like 2C	Enzyme	14	0.76	0.192	0.00018192	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ACE	1636	P12821	angiotensin I converting enzyme	Enzyme	1082	0.328	0.923	1.0344e-37	0.1		0.933	30	0	1999.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GLIS3	169792	Q8NEA6	GLIS family zinc finger 3		105	0.59	0.654	5.5977e-08	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DMWD	1762	Q09019	DM1 locus, WD repeat containing		4	0.89	0.192	0.36917	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DPP6	1804	P42658	dipeptidyl peptidase like 6	Enzyme	71	0.603	0.692	0.33997	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CYS1	192668	Q717R9	cystin 1		12	0.792	0.308	0.10934	0.1		1.0	1	1	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	FAM227B	196951	Q96M60	family with sequence similarity 227 member B		14	0.792	0.154	4.3472e-23	0.1		1.0	1	4	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	ELANE	1991	P08246	elastase, neutrophil expressed	Enzyme	346	0.447	0.846	0.0012274	0.1		0.933	15	0	2004.0	2020.0
